# OBJECT = MAXI_J1535-571
# INST = NICER
# TODAY = 2018-05-31 16:52:38.968687
# INFILE = /Users/abbie/Dropbox/Research/MAXIJ1535_B-QPO/all_evtlists.txt
# N_BINS = 16384
# DT = 0.003906250 s
# DF = 0.015625000 Hz
# N_SECOND = 64
# 
# ni+obsID start_time end_time total_rate broad_rate rms hard_rate soft_rate hardness nz_rate ibg_rate hrej_rate
# 
1050360104 116679506.000077263 116679570.000077263 7192.000000 2692.875000 0.134041195 123.359375 2155.921875 0.05721885 0.703125 0.000000 0.156250
1050360104 116703322.000000000 116703386.000000000 7699.140625 2869.468750 0.137183396 126.312500 2308.562500 0.05471478 0.765625 0.000000 0.156250
1050360104 116703386.000000000 116703450.000000000 7824.375000 2913.015625 0.140209103 126.296875 2341.125000 0.05394709 0.406250 0.000000 0.031250
1050360104 116703450.000000000 116703514.000000000 7737.484375 2893.531250 0.135637682 127.265625 2317.281250 0.05492023 0.328125 0.000000 0.031250
1050360104 116703514.000000000 116703578.000000000 7643.593750 2831.875000 0.134950205 126.531250 2296.437500 0.05509893 0.343750 0.000000 0.062500
1050360104 116703578.000000000 116703642.000000000 7812.000000 2914.515625 0.135674320 131.468750 2327.031250 0.05649634 0.515625 0.000000 0.062500
1050360104 116703642.000000000 116703706.000000000 7802.703125 2902.015625 0.131443266 129.890625 2334.765625 0.05563326 0.375000 0.000000 0.062500
1050360104 116703706.000000000 116703770.000000000 7724.203125 2870.015625 0.138489959 125.484375 2317.171875 0.05415411 0.218750 0.000000 0.109375
1050360104 116703770.000000000 116703834.000000000 7763.500000 2894.250000 0.135041685 127.375000 2318.078125 0.05494854 0.390625 0.000000 0.062500
1050360104 116703834.000000000 116703898.000000000 7739.390625 2878.546875 0.133456143 124.937500 2323.343750 0.05377487 0.375000 0.000000 0.078125
1050360104 116703898.000000000 116703962.000000000 7799.125000 2903.843750 0.137317096 128.031250 2339.031250 0.05473687 0.281250 0.000000 0.109375
1050360104 116703984.000000000 116704048.000000000 7725.359375 2879.171875 0.128334228 125.281250 2307.875000 0.05428424 0.406250 0.000000 0.015625
1050360104 116707297.000000000 116707361.000000000 7571.109375 2841.843750 0.131973553 127.593750 2264.843750 0.05633667 0.390625 0.000000 0.093750
1050360104 116707387.000000000 116707451.000000000 7501.625000 2797.781250 0.136506434 128.515625 2253.640625 0.05702578 0.281250 0.000000 0.062500
1050360104 116707451.000000000 116707515.000000000 7586.453125 2833.828125 0.138592109 128.453125 2262.500000 0.05677486 0.484375 0.000000 0.078125
1050360104 116707546.000000000 116707610.000000000 7619.546875 2838.421875 0.140451424 126.734375 2283.250000 0.05550613 0.781250 0.000000 0.062500
1050360104 116707610.000000000 116707674.000000000 7586.406250 2838.078125 0.142784240 127.296875 2270.281250 0.05607097 0.796875 0.000000 0.031250
1050360104 116707674.000000000 116707738.000000000 7618.656250 2860.625000 0.136110812 132.218750 2262.562500 0.05843761 0.562500 0.000000 0.109375
1050360104 116707738.000000000 116707802.000000000 7599.906250 2840.140625 0.142182693 126.140625 2272.671875 0.05550323 0.625000 0.000000 0.078125
1050360104 116707802.000000000 116707866.000000000 7640.421875 2857.546875 0.133163318 130.859375 2289.421875 0.05715826 0.500000 0.000000 0.062500
1050360104 116707866.000000000 116707930.000000000 7477.812500 2790.500000 0.140886728 127.718750 2248.296875 0.05680689 0.593750 0.000000 0.109375
1050360104 116707930.000000000 116707994.000000000 7512.453125 2807.593750 0.139457210 125.671875 2249.187500 0.05587434 0.750000 0.000000 0.171875
1050360104 116707994.000000000 116708058.000000000 7540.203125 2830.343750 0.135721072 128.156250 2247.125000 0.05703121 0.640625 0.015625 0.171875
1050360104 116708058.000000000 116708122.000000000 7722.265625 2894.796875 0.133165720 130.671875 2301.687500 0.05677221 0.750000 0.000000 0.125000
1050360104 116709227.000000000 116709291.000000000 7714.875000 2898.000000 0.133845138 128.671875 2307.015625 0.05577417 0.421875 0.015625 0.078125
1050360104 116709291.000000000 116709355.000000000 7652.406250 2859.406250 0.142351740 128.312500 2289.468750 0.05604466 0.265625 0.000000 0.093750
1050360104 116709355.000000000 116709419.000000000 7789.890625 2926.468750 0.137997675 129.218750 2315.203125 0.05581314 0.421875 0.000000 0.125000
1050360104 116709419.000000000 116709483.000000000 7624.078125 2853.671875 0.136034459 128.859375 2283.765625 0.05642408 0.343750 0.000000 0.062500
1050360104 116709483.000000000 116709547.000000000 7600.125000 2839.796875 0.138367716 128.671875 2281.562500 0.05639638 0.328125 0.000000 0.109375
1050360104 116712866.000000000 116712930.000000000 7499.531250 2816.640625 0.140084848 130.703125 2245.875000 0.05819697 0.968750 0.015625 0.046875
1050360104 116712930.000000000 116712994.000000000 7311.046875 2724.234375 0.134077830 125.031250 2206.078125 0.05667580 1.046875 0.015625 0.109375
1050360104 116712994.000000000 116713058.000000000 7420.578125 2782.765625 0.136007498 126.968750 2223.234375 0.05710993 0.859375 0.015625 0.093750
1050360104 116713058.000000000 116713122.000000000 7376.046875 2767.453125 0.140633337 127.656250 2202.890625 0.05794943 0.921875 0.015625 0.078125
1050360104 116713122.000000000 116713186.000000000 7462.421875 2809.531250 0.137878276 127.859375 2226.281250 0.05743182 0.656250 0.000000 0.093750
1050360104 116713186.000000000 116713250.000000000 7405.921875 2783.531250 0.135616810 125.734375 2216.546875 0.05672534 0.750000 0.000000 0.093750
1050360104 116713250.000000000 116713314.000000000 7318.781250 2753.421875 0.139243944 125.906250 2190.531250 0.05747750 0.921875 0.000000 0.093750
1050360104 116713314.000000000 116713378.000000000 7254.718750 2718.296875 0.136978600 126.187500 2184.328125 0.05776948 0.671875 0.000000 0.125000
1050360104 116713378.000000000 116713442.000000000 7302.109375 2724.406250 0.137621397 123.640625 2201.843750 0.05615322 0.625000 0.000000 0.140625
1050360104 116713442.000000000 116713506.000000000 7365.890625 2742.156250 0.137707570 126.937500 2225.156250 0.05704656 0.781250 0.000000 0.109375
1050360104 116713506.000000000 116713570.000000000 7446.015625 2787.734375 0.139588375 127.453125 2240.750000 0.05687967 0.609375 0.000000 0.109375
1050360104 116713570.000000000 116713634.000000000 7450.828125 2791.953125 0.144223408 127.546875 2238.093750 0.05698907 0.812500 0.000000 0.062500
1050360104 116713634.000000000 116713698.000000000 7400.375000 2776.515625 0.135813582 125.812500 2213.546875 0.05683751 0.578125 0.000000 0.156250
1050360104 116718428.000000000 116718492.000000000 7181.953125 2708.828125 0.146184117 131.093750 2151.468750 0.06093221 0.906250 0.000000 0.093750
1050360104 116718492.000000000 116718556.000000000 7154.140625 2675.625000 0.148040008 122.500000 2157.343750 0.05678279 0.906250 0.000000 0.125000
1050360104 116718556.000000000 116718620.000000000 7032.640625 2643.500000 0.140734566 124.796875 2115.234375 0.05899908 0.765625 0.000000 0.046875
1050360104 116718620.000000000 116718684.000000000 7130.000000 2666.218750 0.135690921 126.109375 2152.890625 0.05857677 0.828125 0.000000 0.046875
1050360104 116718684.000000000 116718748.000000000 7263.343750 2731.250000 0.139146525 128.812500 2182.328125 0.05902527 0.843750 0.000000 0.109375
1050360104 116718748.000000000 116718812.000000000 7243.500000 2717.906250 0.144638623 127.843750 2187.609375 0.05843994 0.796875 0.000000 0.093750
1050360104 116718812.000000000 116718876.000000000 7258.125000 2725.921875 0.147184091 133.968750 2177.390625 0.06152720 0.781250 0.000000 0.109375
1050360104 116718876.000000000 116718940.000000000 7221.843750 2715.859375 0.142301116 127.937500 2172.343750 0.05889376 0.718750 0.000000 0.093750
1050360104 116718940.000000000 116719004.000000000 7172.453125 2681.890625 0.146481840 125.734375 2166.937500 0.05802400 0.812500 0.000000 0.093750
1050360104 116719004.000000000 116719068.000000000 7208.828125 2714.031250 0.136838285 126.078125 2160.859375 0.05834629 0.687500 0.000000 0.109375
1050360104 116719068.000000000 116719132.000000000 7225.421875 2707.359375 0.133905689 125.187500 2169.953125 0.05769134 0.640625 0.000000 0.078125
1050360104 116719132.000000000 116719196.000000000 7187.453125 2676.203125 0.139992543 124.687500 2180.937500 0.05717151 0.781250 0.000000 0.093750
1050360104 116719196.000000000 116719260.000000000 7230.328125 2704.281250 0.139466935 126.500000 2183.515625 0.05793409 0.718750 0.015625 0.062500
1050360104 116723971.000000000 116724035.000000000 7440.578125 2774.937500 0.143115850 125.890625 2236.531250 0.05628834 0.906250 0.000000 0.031250
1050360104 116724035.000000000 116724099.000000000 7498.671875 2797.890625 0.145439942 124.328125 2252.218750 0.05520251 0.937500 0.000000 0.093750
1050360104 116724099.000000000 116724163.000000000 7579.484375 2836.828125 0.144283099 127.531250 2266.000000 0.05628034 0.843750 0.000000 0.093750
1050360104 116724163.000000000 116724227.000000000 7491.218750 2798.000000 0.138999622 127.421875 2245.890625 0.05673557 0.843750 0.000000 0.140625
1050360104 116724227.000000000 116724291.000000000 7521.359375 2808.031250 0.140653983 126.234375 2257.062500 0.05592861 0.890625 0.000000 0.078125
1050360104 116724291.000000000 116724355.000000000 7634.812500 2864.734375 0.140043691 129.750000 2283.421875 0.05682261 1.062500 0.000000 0.046875
1050360104 116724355.000000000 116724419.000000000 7527.593750 2816.875000 0.139077590 127.890625 2260.796875 0.05656883 0.734375 0.000000 0.093750
1050360104 116724419.000000000 116724483.000000000 7491.968750 2805.828125 0.143907510 125.828125 2247.203125 0.05599321 0.875000 0.000000 0.062500
1050360104 116724483.000000000 116724547.000000000 7506.187500 2802.593750 0.140951631 126.578125 2248.484375 0.05629487 0.734375 0.000000 0.093750
1050360104 116724547.000000000 116724611.000000000 7451.750000 2787.687500 0.135731781 123.687500 2233.796875 0.05537097 0.531250 0.000000 0.062500
1050360104 116724611.000000000 116724675.000000000 7493.640625 2794.343750 0.145171486 128.890625 2257.343750 0.05709836 0.593750 0.000000 0.078125
1050360104 116724675.000000000 116724739.000000000 7452.968750 2766.625000 0.136602634 124.093750 2242.921875 0.05532683 0.687500 0.000000 0.140625
1050360104 116724739.000000000 116724803.000000000 7662.156250 2863.375000 0.143357990 129.671875 2295.171875 0.05649768 0.640625 0.000000 0.046875
1050360105 116725343.000000000 116725407.000000000 7687.546875 2855.500000 0.138278630 127.968750 2308.671875 0.05542960 0.468750 0.000000 0.156250
1050360105 116725407.000000000 116725471.000000000 7756.781250 2895.828125 0.140130852 130.406250 2322.218750 0.05615589 0.531250 0.015625 0.046875
1050360105 116729781.000000000 116729845.000000000 7750.390625 2889.312500 0.131451432 127.546875 2319.140625 0.05499747 0.546875 0.015625 0.093750
1050360105 116729845.000000000 116729909.000000000 7902.828125 2964.656250 0.135929124 128.703125 2356.765625 0.05461007 0.359375 0.015625 0.125000
1050360105 116729909.000000000 116729973.000000000 7792.031250 2903.984375 0.134027527 129.328125 2329.203125 0.05552462 0.390625 0.015625 0.031250
1050360105 116729973.000000000 116730037.000000000 7804.156250 2906.562500 0.136875486 129.500000 2339.640625 0.05535038 0.359375 0.000000 0.046875
1050360105 116731216.000000000 116731280.000000000 7947.171875 2959.953125 0.135053659 132.343750 2373.984375 0.05574752 0.265625 0.015625 0.031250
1050360105 116736771.000000000 116736835.000000000 7854.312500 2927.406250 0.135673574 132.015625 2348.437500 0.05621424 0.406250 0.000000 0.046875
1050360105 116736835.000000000 116736899.000000000 7838.031250 2935.046875 0.132801496 130.531250 2333.328125 0.05594209 0.453125 0.000000 0.078125
1050360105 116736935.000000000 116736999.000000000 7817.843750 2924.203125 0.133931141 127.625000 2335.984375 0.05463436 0.484375 0.000000 0.062500
1050360105 116736999.000000000 116737063.000000000 7899.453125 2940.046875 0.135070266 128.562500 2363.656250 0.05439137 0.328125 0.000000 0.046875
1050360105 116737063.000000000 116737127.000000000 7782.203125 2884.640625 0.137261484 127.984375 2345.343750 0.05456956 0.406250 0.000000 0.078125
1050360105 116737127.000000000 116737191.000000000 7940.531250 2967.328125 0.136854717 129.968750 2371.421875 0.05480625 0.343750 0.000000 0.109375
1050360105 116737191.000000000 116737255.000000000 7843.875000 2924.359375 0.140354875 131.093750 2344.703125 0.05591060 0.359375 0.015625 0.062500
1050360105 116737321.000000000 116737385.000000000 7893.312500 2941.968750 0.132184149 129.625000 2356.000000 0.05501910 0.406250 0.000000 0.046875
1050360105 116740646.000000000 116740710.000000000 7644.937500 2878.343750 0.141267468 129.437500 2280.406250 0.05676072 0.500000 0.000000 0.109375
1050360105 116740710.000000000 116740774.000000000 7514.250000 2822.140625 0.140494334 133.203125 2243.703125 0.05936754 0.812500 0.015625 0.125000
1050360105 116740774.000000000 116740838.000000000 7536.781250 2840.968750 0.131263601 131.875000 2243.578125 0.05877888 0.687500 0.000000 0.078125
1050360105 116740838.000000000 116740902.000000000 7644.343750 2889.046875 0.138738618 131.578125 2282.343750 0.05765044 0.484375 0.015625 0.046875
1050360105 116740902.000000000 116740966.000000000 7459.000000 2787.968750 0.133907306 127.375000 2238.750000 0.05689559 0.296875 0.000000 0.078125
1050360105 116740966.000000000 116741030.000000000 7650.640625 2871.531250 0.131836414 134.140625 2296.296875 0.05841606 0.406250 0.000000 0.031250
